Atlanta Hawks;East;State Farm Arena;100000465;\N;144871520
Boston Celtics;East;TD Garden;100000006;\N;152864880
Brooklyn Nets;East;Barclays Center;100000165;\N;142707136
Charlotte Hornets;East;Spectrum Center;100000523;\N;152997536
Chicago Bulls;East;United Center;100000126;\N;166833984
Cleveland Cavaliers;East;Rocket Mortgage FieldHouse;100000272;\N;154989632
Detroit Pistons;East;Little Caesars Arena;100000135;\N;164038576
Indiana Pacers;East;Gainbridge Fieldhouse;100000287;\N;143312304
Miami Heat;East;FTX Arena;100000520;\N;156721600
Milwaukee Bucks;East;Fiserv Forum;100000113;\N;141260000
New York Knicks;East;Madison Square Garden;100000513;\N;155960064
Orlando Magic;East;Amway Center;100000484;\N;151521840
Philadelphia 76ers;East;Wells Fargo Center;100000461;\N;163496352
Toronto Raptors;East;Scotiabank Arena;100000194;\N;158320800
Washington Wizards;East;Capital One Arena;100000020;\N;162603728
Dallas Mavericks;West;American Airlines Center;100000002;\N;153676800
Denver Nuggets;West;Ball Arena;100000173;\N;156081920
Golden State Warriors;West;Chase Center;100000170;\N;145884864
Houston Rockets;West;Toyota Center;100000374;\N;144656656
Los Angeles Clippers;West;Crypto.com Arena;100000125;\N;152467728
Los Angeles Lakers;West;Crypto.com Arena;100000350;\N;151900016
Memphis Grizzlies;West;FedExForum;100000262;\N;142636704
Minnesota Timberwolves;West;Target Center;100000153;\N;151064880
New Orleans Pelicans;West;Smoothie King Center;100000029;\N;134868528
Oklahoma City Thunder;West;Paycom Center;100000100;\N;145769632
Phoenix Suns;West;Footprint Center;100000155;\N;136021728
Portland Trail Blazers;West;Moda Center;100000028;\N;155139184
Sacramento Kings;West;Golden 1 Center;100000520;\N;141789312
San Antonio Spurs;West;AT&T Center;100000017;\N;147491344
Utah Jazz;West;Vivint Arena;100000121;\N;145788992
